Order_ID,Customer_ID,Product_ID,Seller_ID,Order_Date,Quantity,Payment_Method,Order_Status,Delivery_Days,Discount,Total_Amount,Profit
1,3167,988,72,2025-04-11,3,Credit Card,Returned,4,174,1071,291
2,4148,482,43,2024-02-17,2,COD,Delivered,3,234,1800,576
3,1914,36,283,2024-11-08,1,COD,Delivered,5,282,1234,228
4,3283,122,166,2024-05-19,1,Debit Card,Delivered,7,269,2549,337
5,1380,984,103,2024-08-07,1,Credit Card,Cancelled,5,293,2877,959
6,972,407,46,2024-05-22,1,Wallet,Delivered,4,101,899,331
7,4582,859,168,2025-05-19,2,COD,Delivered,7,29,4066,648
8,3437,197,58,2024-08-12,2,COD,Returned,6,28,5972,1606
9,4761,1022,216,2024-11-15,3,UPI,Delivered,8,105,384,66
10,4283,704,290,2025-04-08,3,Wallet,Delivered,5,179,2076,732
11,4626,726,196,2024-07-03,2,UPI,Delivered,6,136,1904,496
12,2850,1415,118,2024-02-09,3,Debit Card,Delivered,5,284,9228,3705
13,2437,1496,43,2024-04-05,2,COD,Delivered,8,299,4202,1336
14,4735,940,166,2024-11-06,3,Wallet,Delivered,6,118,1059,327
15,2697,675,298,2024-07-19,2,COD,Delivered,2,84,6682,1696
16,3801,88,266,2024-06-07,3,UPI,Delivered,3,92,7848,3426
17,1208,1158,91,2025-06-24,1,Credit Card,Delivered,8,187,1632,461
18,1574,387,15,2024-02-20,1,Debit Card,Delivered,2,148,590,114
19,844,1456,242,2025-03-15,2,Wallet,Delivered,2,41,5402,1004
20,4030,1415,118,2024-07-15,3,Wallet,Returned,4,130,9228,3705
21,2086,1368,67,2024-05-12,2,UPI,Returned,4,30,7668,3350
22,2869,877,236,2025-01-03,1,Credit Card,Delivered,3,193,1702,491
23,4141,351,186,2025-02-13,2,Debit Card,Delivered,8,8,1666,614
24,610,591,38,2024-11-09,2,UPI,Delivered,3,35,3068,1304
25,2082,817,63,2024-03-23,1,COD,Delivered,3,81,443,133
26,4647,554,222,2024-08-24,2,COD,Delivered,7,247,6556,2622
27,3102,677,106,2025-04-14,3,Wallet,Delivered,2,235,3903,1494
28,1262,431,103,2024-09-08,3,Credit Card,Delivered,8,192,2109,801
29,2404,1024,266,2024-02-28,3,UPI,Delivered,3,28,885,135
30,118,250,205,2025-05-14,3,UPI,Delivered,2,158,9330,2238
31,1983,1024,266,2024-11-10,2,Debit Card,Delivered,5,166,590,90
32,1112,699,124,2024-10-11,2,UPI,Delivered,2,67,4828,1388
33,23,354,136,2024-02-05,3,UPI,Delivered,4,105,3456,876
34,140,729,140,2024-08-24,1,UPI,Delivered,6,242,894,179
35,1131,538,157,2025-01-06,3,UPI,Delivered,5,67,3186,507
36,2516,741,53,2024-04-03,1,COD,Delivered,2,167,897,229
37,4884,53,264,2024-11-12,1,UPI,Returned,6,175,2490,656
38,4006,45,204,2025-05-24,2,UPI,Delivered,6,230,5382,1980
39,2940,1450,214,2024-05-23,3,UPI,Delivered,4,243,4533,1713
40,2518,153,80,2025-04-22,2,Debit Card,Returned,3,265,5292,2090
41,2611,63,210,2024-06-26,3,Credit Card,Delivered,4,203,7806,1200
42,4987,781,275,2024-12-05,3,Debit Card,Delivered,5,178,10317,3909
43,1903,830,82,2024-02-22,1,Wallet,Delivered,7,44,3449,1350
44,283,724,113,2025-03-13,1,UPI,Delivered,5,170,2764,1061
45,2725,808,150,2024-03-07,1,Debit Card,Delivered,6,15,2351,550
46,1966,1023,270,2024-12-05,3,Debit Card,Delivered,4,29,10512,4311
47,4093,1156,297,2024-08-31,3,Debit Card,Delivered,6,244,6171,1512
48,566,383,2,2024-05-15,1,Debit Card,Delivered,2,241,3978,1541
49,2676,379,130,2024-02-07,2,Credit Card,Delivered,4,2,6242,2464
50,3017,725,154,2024-04-18,1,Wallet,Delivered,8,94,2164,674
51,4230,348,94,2025-05-21,2,Credit Card,Delivered,6,220,7170,2966
52,523,737,285,2024-03-23,3,COD,Delivered,6,26,6981,1509
53,1781,1052,21,2025-01-23,1,Debit Card,Delivered,6,138,1054,221
54,1080,1183,248,2024-07-08,3,UPI,Delivered,2,212,10935,4713
55,932,1465,179,2025-03-27,2,UPI,Delivered,7,95,4200,1208
56,1379,1161,295,2024-08-21,3,COD,Delivered,6,114,7008,1458
57,4054,498,219,2024-06-15,2,COD,Delivered,5,244,4306,1320
