Product_ID,Seller_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price,Stock,Rating
1,209,Mixer,Home & Kitchen,Prestige,1697,2371,117,4.3
2,182,Bluetooth Earbuds,Electronics,Generic,1811,2937,182,4.9
3,5,Storage Box,Home & Kitchen,Milton,2215,3585,380,4.8
4,251,Men T-Shirt,Fashion,Lakme,2425,3279,376,4.2
5,77,Shampoo,Beauty,Boat,1209,1559,163,4.9
6,204,Tea,Grocery,Boat,286,468,45,4.5
7,214,Men T-Shirt,Fashion,Generic,706,1015,72,4.8
8,103,Bedsheet,Home & Kitchen,Generic,1770,2286,313,4.1
9,7,Saree,Fashion,Mamaearth,1880,3103,378,4.5
10,60,Tea,Grocery,Boat,1225,1672,349,4.8
11,12,Storage Box,Home & Kitchen,Nike,1658,2242,122,4.0
12,42,Saree,Fashion,Nike,848,1008,52,5.0
13,37,Mixer,Home & Kitchen,Milton,143,166,300,3.5
14,149,Lipstick,Beauty,Puma,2177,3126,64,5.0
15,30,Mixer,Home & Kitchen,Mamaearth,441,652,158,4.7
16,299,Spices,Grocery,Lakme,2215,2717,26,4.1
17,62,Shampoo,Beauty,Boat,1536,2581,291,4.2
18,176,Dry Fruits,Grocery,Milton,584,965,98,4.3
19,86,Storage Box,Home & Kitchen,Mamaearth,2348,3660,352,4.2
20,15,Saree,Fashion,Boat,773,1057,223,3.5
21,167,Smart Watch,Electronics,Prestige,1369,1682,210,4.9
22,278,Spices,Grocery,Lakme,1568,2735,23,3.9
23,94,Women's Kurti,Fashion,Boat,2175,2527,146,4.9
24,215,Spices,Grocery,Nike,994,1774,399,4.7
25,254,Spices,Grocery,Generic,1464,2033,307,4.2
26,60,Storage Box,Home & Kitchen,Lakme,1146,1953,218,3.5
27,59,Spices,Grocery,Nike,1205,1755,156,4.1
28,271,Spices,Grocery,Lakme,139,186,261,4.6
29,1,Bedsheet,Home & Kitchen,Mamaearth,2298,3488,367,3.8
30,263,Women's Kurti,Fashion,Generic,2415,3546,384,4.0
31,18,Tea,Grocery,Lakme,2476,2977,198,3.6
32,183,Power Bank,Electronics,Nike,1276,1706,168,3.7
33,296,Storage Box,Home & Kitchen,Lakme,1255,1770,247,4.4
34,49,Shampoo,Beauty,Puma,2068,2413,126,4.0
35,112,Jeans,Fashion,Generic,1941,3056,221,3.6
36,283,Women's Kurti,Fashion,Boat,1006,1234,369,3.9
37,93,Tea,Grocery,Nike,214,309,98,4.1
38,109,Tea,Grocery,Boat,736,1008,187,3.8
39,21,Bluetooth Earbuds,Electronics,Prestige,2057,2775,22,4.0
40,300,Spices,Grocery,Boat,1592,2410,77,4.7
