Return_ID,Order_ID,Return_Date,Return_Reason,Refund_Amount
1,1,2024-08-14,Wrong Item,1071
2,8,2024-06-23,Changed Mind,5972
3,20,2024-01-05,Changed Mind,9228
4,21,2024-06-17,Changed Mind,7668
5,37,2025-02-22,Wrong Item,2490
6,40,2025-01-12,Damaged,5292
7,76,2024-04-25,Changed Mind,3942
8,103,2024-01-16,Wrong Item,2428
9,127,2024-10-03,Size Issue,2340
10,144,2025-04-02,Changed Mind,4086
11,149,2024-12-24,Wrong Item,2726
12,177,2024-01-31,Changed Mind,1827
13,202,2025-03-18,Changed Mind,3200
14,214,2024-10-30,Size Issue,2124
15,222,2025-06-20,Size Issue,8094
16,247,2024-07-01,Damaged,2754
17,261,2024-07-18,Size Issue,3540
18,289,2025-01-30,Changed Mind,2404
19,294,2024-07-29,Damaged,4270
20,314,2025-03-01,Wrong Item,6004
21,319,2024-02-25,Size Issue,3027
22,327,2024-12-29,Wrong Item,1950
23,349,2024-08-23,Damaged,8106
24,368,2025-01-02,Changed Mind,3548
25,398,2025-06-10,Size Issue,8193
26,417,2024-10-07,Wrong Item,5644
27,464,2024-12-28,Size Issue,3996
28,470,2024-01-05,Damaged,2731
29,520,2025-01-09,Changed Mind,2002
30,545,2025-03-01,Changed Mind,5355
31,555,2025-06-02,Damaged,7362
32,559,2024-03-12,Changed Mind,2605
33,562,2025-06-11,Changed Mind,4119
34,565,2024-01-22,Size Issue,1527
35,572,2024-11-17,Wrong Item,6566
36,586,2024-02-12,Wrong Item,772
37,590,2025-01-12,Damaged,4197
38,603,2025-01-06,Wrong Item,360
39,631,2024-05-28,Size Issue,2286
40,638,2024-12-09,Changed Mind,5856
41,710,2024-08-03,Changed Mind,7461
42,737,2024-06-21,Wrong Item,3022
43,747,2024-05-25,Size Issue,7710
44,792,2024-11-23,Damaged,12204
45,815,2024-01-31,Wrong Item,6048
46,821,2025-01-23,Damaged,950
47,836,2024-08-12,Wrong Item,5988
48,874,2024-03-07,Wrong Item,2750
49,880,2025-01-22,Size Issue,4308
50,882,2024-10-10,Size Issue,3171
51,891,2024-07-13,Size Issue,2321
52,926,2024-02-01,Size Issue,8913
53,930,2024-04-06,Changed Mind,2107
54,943,2024-06-04,Size Issue,1774
55,963,2024-10-30,Damaged,3780
56,969,2024-06-26,Wrong Item,5937
57,982,2025-03-05,Size Issue,2591
58,985,2024-07-05,Wrong Item,2487
59,994,2024-10-04,Size Issue,1282
60,998,2024-12-21,Damaged,1285
61,1000,2024-01-28,Size Issue,4432
62,1008,2024-05-20,Changed Mind,465
63,1024,2025-05-13,Changed Mind,882
